REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Region 1,2010,49,423,161,53217
Region 2,2010,49,3010,168,113359
Region 3,2010,49,1605,214,99750
Region 4,2010,49,4034,416,145180
Region 5,2010,49,1091,286,94246
Region 6,2010,49,1952,190,81114
Region 7,2010,49,318,100,25257
Region 8,2010,49,339,103,44360
Region 9,2010,49,2025,241,72878
Region 10,2010,49,161,57,13245
Region 1,2010,50,440,168,52867
Region 2,2010,50,3680,168,114758
Region 3,2010,50,1574,210,92568
Region 4,2010,50,6018,413,136624
Region 5,2010,50,1138,290,87199
Region 6,2010,50,2221,182,76438
Region 7,2010,50,362,98,24839
Region 8,2010,50,326,98,40972
Region 9,2010,50,2139,233,68042
Region 10,2010,50,124,56,10616
Region 1,2010,51,405,163,38377
Region 2,2010,51,4471,169,105360
Region 3,2010,51,1858,208,86173
Region 4,2010,51,6596,383,109826
Region 5,2010,51,1341,275,70119
Region 6,2010,51,2400,160,62986
Region 7,2010,51,335,99,19229
Region 8,2010,51,302,92,30035
Region 9,2010,51,2025,234,57722
Region 10,2010,51,166,57,8579
Region 1,2010,52,411,166,32970
Region 2,2010,52,4173,165,94795
Region 3,2010,52,2131,207,89257
Region 4,2010,52,6147,407,119962
Region 5,2010,52,1613,273,68555
Region 6,2010,52,3062,183,73105
Region 7,2010,52,375,94,16832
Region 8,2010,52,332,87,29675
Region 9,2010,52,1916,249,59229
Region 10,2010,52,186,56,8500
Region 1,2011,1,508,166,51455
Region 2,2011,1,3873,166,117477
Region 3,2011,1,2380,213,103627
Region 4,2011,1,5506,422,141427
Region 5,2011,1,1677,276,87292
Region 6,2011,1,2909,185,83532
Region 7,2011,1,389,99,23319
Region 8,2011,1,357,87,42816
Region 9,2011,1,2237,256,80189
Region 10,2011,1,190,53,12909
Region 1,2011,2,555,169,46187
Region 2,2011,2,3496,164,106170
Region 3,2011,2,2754,226,105686
Region 4,2011,2,4962,415,129108
Region 5,2011,2,1928,276,88839
Region 6,2011,2,3535,179,80494
Region 7,2011,2,380,98,23160
Region 8,2011,2,409,81,36068
Region 9,2011,2,2460,256,82491
Region 10,2011,2,242,57,13705
Region 1,2011,3,568,171,46551
Region 2,2011,3,3251,166,107353
Region 3,2011,3,3895,230,110431
Region 4,2011,3,6652,427,149522
Region 5,2011,3,2720,277,91590
Region 6,2011,3,5130,193,90442
Region 7,2011,3,489,100,25446
Region 8,2011,3,627,93,40865
Region 9,2011,3,2649,253,77492
Region 10,2011,3,276,54,12158
Region 1,2011,4,780,161,52393
Region 2,2011,4,3060,169,104893
Region 3,2011,4,4800,226,112530
Region 4,2011,4,8480,429,164368
Region 5,2011,4,3783,275,98577
Region 6,2011,4,5714,188,89617
Region 7,2011,4,878,99,27274
Region 8,2011,4,781,88,42450
Region 9,2011,4,3364,255,92619
Region 10,2011,4,335,57,13916
Region 1,2011,5,929,171,48455
Region 2,2011,5,3110,163,108787
Region 3,2011,5,5633,233,119308
Region 4,2011,5,9072,427,161912
Region 5,2011,5,3708,281,87385
Region 6,2011,5,6357,200,83257
Region 7,2011,5,862,96,21304
Region 8,2011,5,967,88,40968
Region 9,2011,5,3267,259,89136
Region 10,2011,5,379,52,12462
Region 1,2011,6,1198,167,57866
Region 2,2011,6,3338,160,115601
Region 3,2011,6,5488,224,121341
Region 4,2011,6,8788,428,162014
Region 5,2011,6,3668,284,100484
Region 6,2011,6,5785,189,77371
Region 7,2011,6,943,95,26846
Region 8,2011,6,1238,93,46408
Region 9,2011,6,3593,265,90431
Region 10,2011,6,417,56,13868
Region 1,2011,7,1339,166,55699
Region 2,2011,7,3363,151,114209
Region 3,2011,7,5605,224,121531
Region 4,2011,7,8188,409,165063
Region 5,2011,7,3659,275,101510
Region 6,2011,7,7688,189,97973
Region 7,2011,7,1186,96,27620
Region 8,2011,7,1274,89,44640
Region 9,2011,7,3687,259,90371
Region 10,2011,7,578,52,12984
Region 1,2011,8,1252,167,50499
Region 2,2011,8,3238,152,109159
Region 3,2011,8,4889,226,119008
Region 4,2011,8,6697,411,165649
Region 5,2011,8,3236,273,95242
Region 6,2011,8,5715,187,93925
Region 7,2011,8,1276,98,28923
Region 8,2011,8,1163,87,42103
Region 9,2011,8,3306,256,84414
Region 10,2011,8,505,51,12527
Region 1,2011,9,1035,165,55226
Region 2,2011,9,2653,148,112560
